id_client;genre;langue;date_début;province;CLCODP;âge;état_civil;dépendants;résidence;occupation
cli_id_00055;F;FRANCAIS;01FEB1991:00:00:00;QC;J2S;66;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00056;F;FRANCAIS;01AUG2017:00:00:00;N-B;E1A;25;CELIBATAIRE;0;LOCATAIRE;ETUDIANT
cli_id_00057;M;FRANCAIS;01OCT2014:00:00:00;QC;G0E;64;CELIBATAIRE;0;PROPRIETAIRE;OUVRIER NON SPECIALISE
cli_id_00058;F;FRANCAIS;01OCT2014:00:00:00;QC;H1R;4;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00059;F;FRANCAIS;01JUL1983:00:00:00;QC;G0X;64;AUTRES;0;N/D;AUTRES
cli_id_00060;F;FRANCAIS;01JUL1982:00:00:00;QC;H1E;58;DIVORCE;1;LOCATAIRE;AUTRES
cli_id_00061;M;ANGLAIS;01OCT1986:00:00:00;N-B;E4P;79;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00062;M;ANGLAIS;01MAY2015:00:00:00;ONT;L4G;45;MARIE;0;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00063;M;FRANCAIS;01MAR2016:00:00:00;QC;J0E;71;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00064;M;ANGLAIS;01MAR2010:00:00:00;QC;H9R;38;MARIE;0;LOCATAIRE;EMPLOYE DE BUREAU
cli_id_00065;M;ANGLAIS;01MAR2016:00:00:00;ONT;N0R;46;CELIBATAIRE;0;AUTRE;CHOMEUR
cli_id_00066;M;FRANCAIS;01SEP2012:00:00:00;QC;G0X;40;CONJOINT DE FAIT;0;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00067;M;FRANCAIS;01JUN2001:00:00:00;QC;J3X;73;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00068;M;ANGLAIS;01SEP2002:00:00:00;ONT;L6B;51;MARIE;0;LOCATAIRE;AUTRES
cli_id_00069;M;FRANCAIS;01MAR1989:00:00:00;QC;J0R;53;SEPARE;2;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00070;M;FRANCAIS;01OCT2015:00:00:00;QC;G5R;45;MARIE;0;PROPRIETAIRE;EMPLOYE DE SERVICE
cli_id_00071;M;FRANCAIS;01FEB2014:00:00:00;QC;G0V;5;CELIBATAIRE;0;AUTRE;ETUDIANT
cli_id_00072;F;ANGLAIS;01APR2018:00:00:00;ONT;N0C;28;CONJOINT DE FAIT;0;PROPRIETAIRE;PROFESSION LIBERALE
cli_id_00073;M;FRANCAIS;01JAN1995:00:00:00;QC;J8R;40;MARIE;0;LOCATAIRE;OUVRIER SPECIALISE
cli_id_00074;M;ANGLAIS;01FEB1993:00:00:00;QC;H4R;81;MARIE;0;PROPRIETAIRE;AUTRES
cli_id_00075;F;FRANCAIS;01JUN2004:00:00:00;QC;G3N;30;MARIE;0;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00076;F;FRANCAIS;01DEC2017:00:00:00;QC;J4M;1;CELIBATAIRE;0;AUTRE;CHOMEUR
cli_id_00077;F;FRANCAIS;01MAR2017:00:00:00;QC;J6Y;45;VEUF;1;AUTRE;EMPLOYE DE BUREAU
cli_id_00078;M;FRANCAIS;01APR1987:00:00:00;N-B;E1X;62;MARIE;0;PROPRIETAIRE;PROP. D'ENTREPRISE
cli_id_00079;F;FRANCAIS;01SEP1987:00:00:00;QC;G3Z;48;CELIBATAIRE;0;PROPRIETAIRE;EMPLOYE DE SERVICE
cli_id_00080;M;FRANCAIS;01MAR2004:00:00:00;QC;J4J;44;CONJOINT DE FAIT;0;PROPRIETAIRE;AUTRES
cli_id_00081;M;FRANCAIS;01APR2018:00:00:00;QC;J0K;0;AUTRES;0;AUTRE;AUTRES
cli_id_00082;M;FRANCAIS;01JUN1981:00:00:00;QC;J8E;74;MARIE;0;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00083;M;FRANCAIS;01MAY1979:00:00:00;QC;G3B;70;MARIE;0;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00084;M;FRANCAIS;01JUL1982:00:00:00;QC;G0S;68;MARIE;0;PROPRIETAIRE;AUTRES
cli_id_00085;F;ANGLAIS;01JUN2010:00:00:00;ONT;L6S;35;MARIE;0;AUTRE;PROFESSION LIBERALE
cli_id_00086;F;ANGLAIS;07AUG1980:00:00:00;ONT;M5R;55;AUTRES;0;N/D;AUTRES
cli_id_00087;M;FRANCAIS;01JAN1991:00:00:00;QC;J4W;51;MARIE;2;PROPRIETAIRE;AUTRES
cli_id_00088;M;FRANCAIS;01APR2008:00:00:00;QC;G6V;59;CELIBATAIRE;0;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00089;M;FRANCAIS;01APR1981:00:00:00;QC;G0A;61;CELIBATAIRE;0;PROPRIETAIRE;RETRAITE
cli_id_00090;M;FRANCAIS;01JUN1984:00:00:00;QC;H4G;60;CELIBATAIRE;0;LOCATAIRE;OUVRIER SPECIALISE
cli_id_00091;F;FRANCAIS;01APR1989:00:00:00;QC;G0C;64;MARIE;0;PROPRIETAIRE;AUTRES
cli_id_00092;F;FRANCAIS;01JUN2012:00:00:00;QC;G0W;38;CELIBATAIRE;0;LOCATAIRE;PROFESSION LIBERALE
cli_id_00093;F;FRANCAIS;01JUL1989:00:00:00;QC;J7C;68;MARIE;1;PROPRIETAIRE;SECTEUR PUBLIQUE
cli_id_00094;F;FRANCAIS;01AUG2007:00:00:00;QC;G6R;11;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00095;F;FRANCAIS;01MAR1992:00:00:00;QC;G5R;26;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00096;M;FRANCAIS;01JUN2016:00:00:00;QC;J6E;17;CELIBATAIRE;0;AUTRE;ETUDIANT
cli_id_00097;F;ANGLAIS;01OCT1995:00:00:00;QC;J8R;58;CONJOINT DE FAIT;2;PROPRIETAIRE;RETRAITE
cli_id_00098;F;FRANCAIS;01SEP2002:00:00:00;QC;G6X;63;MARIE;0;PROPRIETAIRE;AUTRES
cli_id_00099;M;FRANCAIS;01JUN2007:00:00:00;QC;J2K;38;MARIE;2;PROPRIETAIRE;SUPERVISEUR
cli_id_00100;M;ANGLAIS;01MAR1999:00:00:00;ONT;N5A;55;MARIE;0;PROPRIETAIRE;AUTRES
cli_id_00101;M;FRANCAIS;28MAY1992:00:00:00;QC;G1E;50;AUTRES;0;N/D;AUTRES
cli_id_00102;M;FRANCAIS;01SEP1992:00:00:00;QC;G2C;64;AUTRES;0;PROPRIETAIRE;ENSEIGNANT
cli_id_00103;M;ANGLAIS;29APR2016:00:00:00;MAN;R1A;77;AUTRES;0;N/D;AUTRES
cli_id_00104;F;FRANCAIS;01MAY1988:00:00:00;QC;J3E;63;MARIE;0;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00105;M;FRANCAIS;01JUN1998:00:00:00;QC;H1A;43;CELIBATAIRE;0;AUTRE;EMPLOYE DE BUREAU
cli_id_00106;M;FRANCAIS;01APR2011:00:00:00;QC;J2R;49;SEPARE;0;PROPRIETAIRE;AUTRES
cli_id_00107;M;FRANCAIS;01MAR2011:00:00:00;QC;G7H;33;CONJOINT DE FAIT;0;LOCATAIRE;AUTRES
cli_id_00108;M;FRANCAIS;01APR1987:00:00:00;QC;G6H;66;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00109;M;FRANCAIS;01NOV2016:00:00:00;QC;H7X;53;CONJOINT DE FAIT;3;PROPRIETAIRE;AUTRES
cli_id_00110;M;FRANCAIS;01OCT1987:00:00:00;QC;J4B;60;CELIBATAIRE;0;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00111;F;ANGLAIS;01NOV2014:00:00:00;IPE;C1N;65;MARIE;0;PROPRIETAIRE;OUVRIER NON SPECIALISE
cli_id_00112;F;FRANCAIS;01FEB2018:00:00:00;QC;J7A;92;AUTRES;0;AUTRE;AUTRES
cli_id_00113;F;FRANCAIS;01MAY1990:00:00:00;QC;J0B;62;MARIE;3;PROPRIETAIRE;RETRAITE
cli_id_00114;F;FRANCAIS;01DEC2017:00:00:00;QC;G0R;77;AUTRES;0;AUTRE;CHOMEUR
cli_id_00115;F;FRANCAIS;01FEB2008:00:00:00;QC;H4R;28;CELIBATAIRE;0;AUTRE;EMPLOYE DE BUREAU
cli_id_00116;M;FRANCAIS;01MAY1984:00:00:00;QC;J0K;62;MARIE;0;LOCATAIRE;AUTRES
cli_id_00117;M;ANGLAIS;01DEC2015:00:00:00;ONT;K0K;42;MARIE;0;PROPRIETAIRE;PROFESSION LIBERALE
cli_id_00118;M;ANGLAIS;01OCT2014:00:00:00;IPE;C1N;83;CELIBATAIRE;0;LOCATAIRE;RETRAITE
cli_id_00119;M;FRANCAIS;01JUN1995:00:00:00;QC;H2J;80;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00120;M;FRANCAIS;01JUN1992:00:00:00;QC;J8T;55;CELIBATAIRE;3;LOCATAIRE;PROP. D'ENTREPRISE
cli_id_00121;M;FRANCAIS;16JUL2018:00:00:00;ONT;M1H;32;AUTRES;0;N/D;AUTRES
cli_id_00122;M;FRANCAIS;01OCT2009:00:00:00;QC;G7G;62;VEUF;3;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00123;F;FRANCAIS;01MAR2016:00:00:00;QC;G1H;2;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00124;F;FRANCAIS;01NOV1982:00:00:00;QC;J4B;70;MARIE;0;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00125;F;FRANCAIS;01OCT1983:00:00:00;QC;H9C;56;CONJOINT DE FAIT;0;AUTRE;EMPLOYE DE BUREAU
cli_id_00126;M;FRANCAIS;01FEB1992:00:00:00;QC;G6E;54;CONJOINT DE FAIT;0;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00127;M;FRANCAIS;01SEP1999:00:00:00;QC;G0R;59;MARIE;0;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00128;F;FRANCAIS;01MAY1987:00:00:00;QC;J7H;66;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00129;M;FRANCAIS;01APR2008:00:00:00;QC;G0R;65;CELIBATAIRE;0;AUTRE;OUVRIER NON SPECIALISE
cli_id_00130;N;ANGLAIS;31DEC1999:00:00:00;C-B;V5P;50;AUTRES;0;CONVERSION;AUTRES
cli_id_00131;M;ANGLAIS;01MAY2009:00:00:00;ONT;P0M;86;MARIE;0;PROPRIETAIRE;AUTRES
cli_id_00132;F;FRANCAIS;01NOV2007:00:00:00;QC;H2G;27;CELIBATAIRE;0;AUTRE;OUVRIER NON SPECIALISE
cli_id_00133;N;ANGLAIS;12JUN2003:00:00:00;ONT;L0G;57;AUTRES;0;CONVERSION;AUTRES
cli_id_00134;F;FRANCAIS;01NOV1981:00:00:00;QC;J5C;61;DIVORCE;1;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00135;M;FRANCAIS;01NOV2009:00:00:00;QC;G5N;58;CONJOINT DE FAIT;0;PROPRIETAIRE;AUTRES
cli_id_00136;F;FRANCAIS;01AUG2015:00:00:00;QC;H2X;27;CELIBATAIRE;0;LOCATAIRE;ETUDIANT
cli_id_00137;M;FRANCAIS;01MAY1982:00:00:00;QC;G0L;80;MARIE;0;PROPRIETAIRE;OUVRIER NON SPECIALISE
cli_id_00138;M;FRANCAIS;01JAN1996:00:00:00;QC;J9T;45;MARIE;2;PROPRIETAIRE;EMPLOYE DE SERVICE
cli_id_00139;M;FRANCAIS;01NOV1998:00:00:00;QC;J0L;59;AUTRES;0;PROPRIETAIRE;AUTRES
cli_id_00140;M;ANGLAIS;01JUN2011:00:00:00;ALB;T1H;68;MARIE;2;PROPRIETAIRE;AUTRES
cli_id_00141;M;ANGLAIS;01APR1994:00:00:00;ONT;L0G;37;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00142;M;FRANCAIS;01APR1998:00:00:00;QC;G9X;61;CONJOINT DE FAIT;0;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00143;M;ANGLAIS;01OCT2016:00:00:00;QC;J5R;41;MARIE;2;LOCATAIRE;EMPLOYE DE BUREAU
cli_id_00144;F;FRANCAIS;01MAR2018:00:00:00;QC;J6E;63;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00145;F;FRANCAIS;01APR2007:00:00:00;QC;H8Z;41;CONJOINT DE FAIT;2;PROPRIETAIRE;TECHNICIEN
cli_id_00146;F;ANGLAIS;01FEB2018:00:00:00;ONT;N3W;51;CONJOINT DE FAIT;0;PROPRIETAIRE;RETRAITE
cli_id_00147;M;FRANCAIS;01JUN1981:00:00:00;QC;J2K;60;CELIBATAIRE;0;AUTRE;ETUDIANT
cli_id_00148;F;FRANCAIS;01NOV1983:00:00:00;QC;J3X;86;AUTRES;0;LOCATAIRE;AUTRES
cli_id_00149;M;ANGLAIS;26APR2016:00:00:00;ONT;N0E;79;AUTRES;0;N/D;AUTRES
cli_id_00150;F;FRANCAIS;01MAR2017:00:00:00;QC;J0A;53;MARIE;2;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00151;M;FRANCAIS;01MAR1991:00:00:00;QC;H7A;60;CELIBATAIRE;0;AUTRE;AUTRES
cli_id_00152;M;FRANCAIS;01NOV1987:00:00:00;QC;G1L;74;CELIBATAIRE;0;LOCATAIRE;AUTRES
cli_id_00153;M;FRANCAIS;01JUL2004:00:00:00;QC;G7B;29;CELIBATAIRE;0;LOCATAIRE;SECTEUR PUBLIQUE
cli_id_00154;F;ANGLAIS;01FEB2017:00:00:00;ALB;T0B;46;MARIE;0;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00155;F;FRANCAIS;01AUG1987:00:00:00;QC;H1L;51;CONJOINT DE FAIT;1;LOCATAIRE;AUTRES
cli_id_00156;M;FRANCAIS;01AUG1990:00:00:00;QC;H3H;57;CELIBATAIRE;0;LOCATAIRE;AUTRES
cli_id_00157;F;FRANCAIS;01JUL1981:00:00:00;QC;J3G;79;AUTRES;0;PROPRIETAIRE;RETRAITE
cli_id_00158;M;FRANCAIS;01FEB1995:00:00:00;QC;H2T;39;CELIBATAIRE;0;PROPRIETAIRE;AUTRES
cli_id_00159;M;FRANCAIS;01JUL2013:00:00:00;QC;J2W;61;MARIE;0;LOCATAIRE;OUVRIER SPECIALISE
cli_id_00160;F;FRANCAIS;01AUG2011:00:00:00;QC;J3H;37;MARIE;0;PROPRIETAIRE;PROFESSION LIBERALE
cli_id_00161;M;FRANCAIS;01JAN1985:00:00:00;QC;H1M;74;MARIE;0;AUTRE;RETRAITE
cli_id_00162;F;ANGLAIS;01MAR2017:00:00:00;ONT;P0T;33;MARIE;0;PROPRIETAIRE;PROFESSION LIBERALE
cli_id_00163;F;FRANCAIS;01MAR1981:00:00:00;QC;H8R;77;AUTRES;0;AUTRE;AUTRES
cli_id_00164;F;FRANCAIS;01AUG2005:00:00:00;QC;G4T;41;CONJOINT DE FAIT;1;AUTRE;OUVRIER SPECIALISE
cli_id_00165;M;ANGLAIS;01JUN2007:00:00:00;ONT;L6M;11;AUTRES;0;PROPRIETAIRE;AUTRES
cli_id_00166;M;FRANCAIS;01MAY1990:00:00:00;QC;G9H;50;SEPARE;0;LOCATAIRE;CHOMEUR
cli_id_00167;M;FRANCAIS;01APR2014:00:00:00;QC;G7X;37;CELIBATAIRE;0;PROPRIETAIRE;PROP. D'ENTREPRISE
cli_id_00168;F;FRANCAIS;01OCT1995:00:00:00;QC;J0C;39;MARIE;0;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00169;F;FRANCAIS;01DEC1984:00:00:00;QC;J0N;74;SEPARE;1;PROPRIETAIRE;ADMINISTRATEUR
cli_id_00170;F;FRANCAIS;01AUG1988:00:00:00;N-B;E8A;65;MARIE;3;PROPRIETAIRE;OUVRIER NON SPECIALISE
cli_id_00171;F;FRANCAIS;01MAR1981:00:00:00;QC;G6P;79;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00172;M;ANGLAIS;01DEC2015:00:00:00;N-B;E5N;56;MARIE;0;PROPRIETAIRE;PROFESSION LIBERALE
cli_id_00173;F;FRANCAIS;01SEP1985:00:00:00;QC;J2W;65;MARIE;0;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00174;M;FRANCAIS;01JAN2014:00:00:00;QC;J0A;53;DIVORCE;0;PROPRIETAIRE;AUTRES
cli_id_00175;F;FRANCAIS;01AUG2004:00:00:00;QC;G3L;60;MARIE;1;PROPRIETAIRE;AUTRES
cli_id_00176;F;FRANCAIS;01JUL2018:00:00:00;QC;J1X;22;AUTRES;0;AUTRE;ETUDIANT
cli_id_00177;N;ANGLAIS;13FEB1997:00:00:00;ONT;K7M;51;AUTRES;0;CONVERSION;AUTRES
cli_id_00178;F;FRANCAIS;01APR1984:00:00:00;QC;G7X;53;MARIE;1;PROPRIETAIRE;EMPLOYE DE SERVICE
cli_id_00179;F;FRANCAIS;01JUN2010:00:00:00;QC;H1H;39;MARIE;0;LOCATAIRE;ENSEIGNANT
cli_id_00180;F;FRANCAIS;01APR2004:00:00:00;QC;H1A;65;MARIE;0;PROPRIETAIRE;EMPLOYE DE BUREAU
cli_id_00181;M;ANGLAIS;01FEB2006:00:00:00;QC;H9J;53;MARIE;0;PROPRIETAIRE;AUTRES
cli_id_00182;F;FRANCAIS;01MAR2016:00:00:00;QC;J2J;31;CELIBATAIRE;0;AUTRE;SECTEUR PUBLIQUE
cli_id_00183;F;FRANCAIS;01MAR2015:00:00:00;QC;J6W;28;MARIE;0;LOCATAIRE;AUTRES
cli_id_00184;M;ANGLAIS;01JAN2004:00:00:00;QC;J7C;36;CONJOINT DE FAIT;0;PROPRIETAIRE;OUVRIER SPECIALISE
cli_id_00185;F;FRANCAIS;01APR2011:00:00:00;QC;J3E;25;CELIBATAIRE;0;AUTRE;ETUDIANT
cli_id_00186;F;FRANCAIS;01JAN2006:00:00:00;QC;H1H;35;CELIBATAIRE;0;LOCATAIRE;OUVRIER NON SPECIALISE
cli_id_00187;M;ANGLAIS;13MAY1993:00:00:00;QC;G4X;71;AUTRES;0;N/D;AUTRES
cli_id_00188;M;ANGLAIS;01JUN2015:00:00:00;QC;J7V;68;CONJOINT DE FAIT;0;PROPRIETAIRE;AUTRES
cli_id_00189;N;ANGLAIS;30DEC1995:00:00:00;ALB;T9C;69;AUTRES;0;CONVERSION;AUTRES
cli_id_00190;M;FRANCAIS;01FEB1983:00:00:00;QC;G0S;90;MARIE;0;PROPRIETAIRE;RETRAITE
cli_id_00191;M;FRANCAIS;01NOV2017:00:00:00;QC;H2S;23;CELIBATAIRE;0;LOCATAIRE;ETUDIANT
cli_id_00192;F;ANGLAIS;01MAR1999:00:00:00;ONT;L5M;39;MARIE;0;AUTRE;AUTRES
cli_id_00193;F;FRANCAIS;01JUN2017:00:00:00;N-B;E8P;13;CELIBATAIRE;0;AUTRE;ETUDIANT
cli_id_00194;M;FRANCAIS;01SEP1991:00:00:00;QC;H3C;33;CELIBATAIRE;0;LOCATAIRE;TECHNICIEN
cli_id_00195;M;FRANCAIS;01DEC2016:00:00:00;QC;H7A;53;CELIBATAIRE;0;PROPRIETAIRE;PROP. D'ENTREPRISE
cli_id_00196;M;FRANCAIS;01APR1985:00:00:00;QC;H1X;60;SEPARE;1;LOCATAIRE;SUPERVISEUR
cli_id_00197;M;FRANCAIS;01AUG2014:00:00:00;QC;G1C;31;CONJOINT DE FAIT;1;PROPRIETAIRE;PROP. D'ENTREPRISE
cli_id_00198;M;FRANCAIS;01MAR1987:00:00:00;QC;G7J;54;AUTRES;0;PROPRIETAIRE;AUTRES
cli_id_00199;F;FRANCAIS;01JAN1974:00:00:00;QC;H1H;72;CELIBATAIRE;0;LOCATAIRE;RETRAITE
cli_id_00200;F;FRANCAIS;01JUN1986:00:00:00;QC;H2Z;67;CELIBATAIRE;0;LOCATAIRE;PROP. D'ENTREPRISE
cli_id_00201;F;FRANCAIS;01MAR1989:00:00:00;QC;H1M;35;AUTRES;0;LOCATAIRE;SECTEUR PUBLIQUE
