id_client;Date_traitement_BD;FinMois;prêt_hypothécaire;transit_admin;type_pret;mnt_pret;hyp_terme;hyp_amortis;taux_facture;date_creation;an_construction_imm;nbr_logements;num_transit_ouverture;date_debut_prêt;type;canal_admin;canal;canal_origine
cli_id_00372;2018-07-01;2018-07-31;hytp_0060;7591;PH;83165;48;93;2.69;2008-04-10;1994;1;7591;2017-04-09;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00372;2018-07-01;2018-07-31;hytp_0061;7591;PH;24000;84;84;3.99;2012-05-02;1994;1;7591;2012-05-31;84 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00376;2018-07-01;2018-07-31;hytp_0062;10351;PH;180306.2;60;300;3.37;2014-05-30;1973;1;9851;2014-05-31;60 mois;Succursale hors Québec;DDH hors Québec;DDH hors Québec
cli_id_00391;2018-07-01;2018-07-31;hytp_0063;1971;TEU;312750;60;300;3;2017-08-14;1987;4;1971;2017-09-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00391;2018-07-01;2018-07-31;hytp_0064;1971;PH;307076.47;52;292;0;2018-07-11;1987;4;1971;2018-08-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00394;2018-07-01;2018-07-31;hytp_0065;3821;TEU;55000;48;48;2.2;2017-01-26;1974;1;3821;2017-02-01;48 mois;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00398;2018-07-01;2018-07-31;hytp_0066;14171;PH;191920;60;360;3.29;2014-06-27;2001;1;14001;2014-06-27;60 mois;Succursale hors Québec;Courtier hors Québec;Courtier hors Québec
cli_id_00398;2018-07-01;2018-07-31;hytp_0067;14171;PH;176800;1;300;2.6;2013-05-31;2003;1;14001;2018-05-31;Variable sans plafond 5 ans;Succursale hors Québec;Courtier hors Québec;Courtier hors Québec
cli_id_00402;2018-07-01;2018-07-31;hytp_0068;11881;PH;262548;6;240;7.05;2013-06-19;1956;1;7871;2018-06-18;6 mois ouvert;Succursale Québec;Courtier Québec;Courtier Québec
cli_id_00411;2018-07-01;2018-07-31;hytp_0069;14771;PH;222500.68;48;289;2.49;2012-04-26;1988;1;7871;2017-04-16;48 mois;Succursale Québec;Courtier Québec;Courtier Québec
cli_id_00420;2018-07-01;2018-07-31;hytp_0070;10251;PH;201003;60;90;2.38;2007-07-13;2007;1;8001;2016-09-03;60 mois;Succursale Québec;UDI;DDH Québec
cli_id_00433;2018-07-01;2018-07-31;hytp_0071;1081;TEU;200558;60;300;2.55;2016-07-11;1956;2;1081;2016-09-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00443;2018-07-01;2018-07-31;hytp_0072;1591;TEU;160000;48;300;2.69;2016-04-18;1983;1;1591;2016-04-23;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00444;2018-07-01;2018-07-31;hytp_0073;471;PH;156746;60;330;3.49;2014-04-07;1986;1;471;2014-05-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00444;2018-07-01;2018-07-31;hytp_0074;471;PH;18000;60;330;3.49;2014-04-07;1986;1;471;2014-05-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00452;2018-07-01;2018-07-31;hytp_0075;12031;PH;83946.75;60;149;2.84;2005-09-28;1931;1;12031;2015-05-15;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00460;2018-07-01;2018-07-31;hytp_0076;12141;PH;63000;60;240;3.69;2014-01-03;1988;1;12141;2014-02-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00460;2018-07-01;2018-07-31;hytp_0077;12141;PH;7750;60;240;3.69;2014-01-03;1988;1;12141;2014-02-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00460;2018-07-01;2018-07-31;hytp_0078;12141;PH;49373.01;1;8;3.34;2009-10-05;1988;1;12141;2014-02-28;Variable sans plafond 5 ans;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00460;2018-07-01;2018-07-31;hytp_0079;12141;PH;35000;60;234;2.85;2009-10-05;1988;1;12141;2015-05-02;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00461;2018-07-01;2018-07-31;hytp_0080;6471;TEU;59500;48;262;2.19;2012-12-04;1975;1;6471;2015-12-13;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00481;2018-07-01;2018-07-31;hytp_0081;2421;PH;40000;60;60;2.89;2015-03-25;1951;1;2421;2015-03-27;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00505;2018-07-01;2018-07-31;hytp_0082;10911;PH;197829;60;206;2.84;2007-05-24;1959;1;10911;2015-08-02;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00505;2018-07-01;2018-07-31;hytp_0083;10911;PH;35190;60;205;2.84;2011-10-18;1959;1;10911;2015-08-02;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00507;2018-07-01;2018-07-31;hytp_0084;981;PH;239150.63;60;273;2.55;2013-08-30;2003;1;11621;2015-09-05;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00517;2018-07-01;2018-07-31;hytp_0085;11;PH;253500;60;165;3;2005-12-20;1960;3;1371;2014-11-29;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00518;2018-07-01;2018-07-31;hytp_0086;3791;TEU;19000;1;89;2.35;2016-06-01;1995;1;14001;2018-06-14;Variable sans plafond 5 ans;Succursale hors Québec;Courtier hors Québec;Courtier hors Québec
cli_id_00554;2018-07-01;2018-07-31;hytp_0087;10271;PH;195543.06;24;300;2.54;2011-10-03;2011;1;5961;2016-10-14;24 mois;Succursale Québec;UDI;UDI
cli_id_00554;2018-07-01;2018-07-31;hytp_0088;10271;PH;195543.05;48;330;2.95;2011-10-03;2011;1;5961;2014-10-05;48 mois;Succursale Québec;UDI;UDI
cli_id_00558;2018-07-01;2018-07-31;hytp_0089;13741;PH;352343.6;60;300;2.34;2016-02-19;2009;1;5781;2016-02-13;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00567;2018-07-01;2018-07-31;hytp_0090;13891;PH;181198.25;60;305;2.84;2011-07-13;2006;1;5761;2016-07-28;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00582;2018-07-01;2018-07-31;hytp_0091;4331;PH;143235.57;36;241;3;2012-05-15;2005;1;4331;2018-01-22;36 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00582;2018-07-01;2018-07-31;hytp_0092;4331;PH;71765.27;36;241;3;2012-05-15;2005;1;4331;2018-01-22;36 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00588;2018-07-01;2018-07-31;hytp_0093;6551;PH;115987.5;48;300;2.94;2017-09-08;1986;1;6551;2017-09-17;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00588;2018-07-01;2018-07-31;hytp_0094;6551;PH;115987.5;48;300;2.94;2017-09-08;1986;1;6551;2017-09-23;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00594;2018-07-01;2018-07-31;hytp_0095;10261;PH;196839.8;48;300;2.5;2016-11-28;1987;1;10261;2016-12-10;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00594;2018-07-01;2018-07-31;hytp_0096;10261;PH;131226.54;48;300;2.5;2016-11-28;1987;1;10261;2016-12-10;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00605;2018-07-01;2018-07-31;hytp_0097;13931;PH;123967.87;60;252;2.64;2013-02-26;1987;1;5811;2017-03-01;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00608;2018-07-01;2018-07-31;hytp_0098;5241;PH;122668.75;48;205;2.94;2010-04-30;1972;1;5831;2015-04-19;48 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00650;2018-07-01;2018-07-31;hytp_0099;3361;TEU;181400;1;234;3.15;2014-10-09;1977;1;3361;2017-09-29;Variable sans plafond 5 ans;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00650;2018-07-01;2018-07-31;hytp_0100;3361;TEU;206000;1;241;3.16;2014-10-09;1977;1;3361;2014-10-17;Variable sans plafond 5 ans;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00663;2018-07-01;2018-07-31;hytp_0101;2761;PH;209257.63;36;300;3.19;2017-08-01;1959;1;2761;2017-11-01;36 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00674;2018-07-01;2018-07-31;hytp_0102;91;TEU;107000;60;196;2.84;2012-08-08;1983;1;91;2017-08-20;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00688;2018-07-01;2018-07-31;hytp_0103;2581;PH;103174.53;60;268;3.39;2009-12-24;1953;1;2581;2014-07-12;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00688;2018-07-01;2018-07-31;hytp_0104;2581;PH;23021.08;24;180;3.14;2009-12-24;1953;1;2581;2018-01-09;24 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00741;2018-07-01;2018-07-31;hytp_0105;4381;TEU;327000;1;300;2.94;2014-12-03;2006;1;4381;2014-12-22;Variable sans plafond 5 ans;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00741;2018-07-01;2018-07-31;hytp_0106;4381;TEU;40000;1;11;2.94;2014-12-03;2006;1;4381;2014-12-22;Variable sans plafond 5 ans;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00741;2018-07-01;2018-07-31;hytp_0107;4381;TEU;50000;27;120;2.85;2017-09-27;2006;1;4381;2017-10-23;36 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00744;2018-07-01;2018-07-31;hytp_0108;2551;TEU;146000;48;131;2.7;2007-06-27;2005;1;13701;2015-07-05;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00747;2018-07-01;2018-07-31;hytp_0109;2291;PH;135660;60;230;3.24;2013-03-28;1973;1;5811;2018-03-21;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00759;2018-07-01;2018-07-31;hytp_0110;4991;PH;164853.5;36;300;2.4;2016-09-19;1994;1;4991;2016-10-03;36 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00774;2018-07-01;2018-07-31;hytp_0111;2351;PH;26500;60;86;3.4;2008-01-16;1950;1;2351;2013-01-04;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00774;2018-07-01;2018-07-31;hytp_0112;2351;PH;19500;12;30;3.09;2012-12-21;1950;1;2351;2017-12-20;12 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00777;2018-07-01;2018-07-31;hytp_0113;10251;PH;21074.01;60;310;4.39;2011-11-29;2006;1;10251;2016-07-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00777;2018-07-01;2018-07-31;hytp_0114;10251;PH;156994.36;60;360;4.49;2008-03-26;2006;1;10331;2016-07-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00777;2018-07-01;2018-07-31;hytp_0115;10251;PH;22124.64;60;360;4.39;2008-03-26;2006;1;10331;2016-07-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00780;2018-07-01;2018-07-31;hytp_0116;761;TEU;143845.86;48;79;2.95;1999-07-14;1945;1;10861;2014-09-01;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00780;2018-07-01;2018-07-31;hytp_0117;761;TEU;350000;60;240;0;2018-06-04;1945;1;761;2018-07-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00780;2018-07-01;2018-07-31;hytp_0118;761;TEU;350000;1;240;0;2018-06-04;1945;1;761;2018-06-30;Variable sans plafond 5 ans;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00801;2018-07-01;2018-07-31;hytp_0119;12131;PH;109333.84;1;258;2.95;2014-12-15;2014;1;5781;2014-12-31;Variable sans plafond 5 ans;Succursale Québec;DDH Québec;DDH Québec
cli_id_00801;2018-07-01;2018-07-31;hytp_0120;12131;PH;109333.84;24;264;3.04;2014-12-15;2014;1;5781;2017-12-31;24 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00833;2018-07-01;2018-07-31;hytp_0121;6561;TEU;33900;48;300;2.99;2014-06-05;2005;1;6561;2014-08-03;48 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00838;2018-07-01;2018-07-31;hytp_0122;3001;TEU;58000;60;60;2.89;2016-04-01;1975;1;3001;2016-04-09;60 mois;Succursale hors Québec;Succursale hors Québec;Succursale hors Québec
cli_id_00843;2018-07-01;2018-07-31;hytp_0123;1301;PH;271230;36;180;2.15;2012-12-17;2012;1;7651;2015-12-21;36 mois;Succursale Québec;UDI;DDH Québec
cli_id_00844;2018-07-01;2018-07-31;hytp_0124;12111;TEU;39000;1;36;3.15;2016-07-13;1997;1;7871;2016-07-13;Variable sans plafond 5 ans;Succursale Québec;Courtier Québec;Courtier Québec
cli_id_00844;2018-07-01;2018-07-31;hytp_0125;12111;TEU;98000;1;296;3.15;2016-07-13;1997;1;7871;2016-07-13;Variable sans plafond 5 ans;Succursale Québec;Courtier Québec;Courtier Québec
cli_id_00844;2018-07-01;2018-07-31;hytp_0126;12111;TEU;11000;1;15;3.15;2016-07-13;1997;1;7871;2016-07-13;Variable sans plafond 5 ans;Succursale Québec;Courtier Québec;Courtier Québec
cli_id_00844;2018-07-01;2018-07-31;hytp_0127;12111;PH;127188.16;60;300;2.69;2016-07-15;1985;1;7871;2016-07-18;60 mois;Succursale Québec;Courtier Québec;Courtier Québec
cli_id_00854;2018-07-01;2018-07-31;hytp_0128;4421;PH;150000;60;300;0;2016-12-08;2010;1;4421;2017-01-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00854;2018-07-01;2018-07-31;hytp_0129;4421;TEU;150000;60;300;2.5;2016-12-13;2010;1;4421;2017-01-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00860;2018-07-01;2018-07-31;hytp_0130;10191;TEU;142800;60;229;2.58;2011-06-14;2002;1;5811;2016-06-18;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00860;2018-07-01;2018-07-31;hytp_0131;10191;TEU;142800;24;216;2.99;2011-06-14;2002;1;5811;2017-10-10;24 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00864;2018-07-01;2018-07-31;hytp_0132;13601;PH;179418;48;252;2.5;2013-05-29;2013;1;5961;2017-06-01;48 mois;Succursale Québec;UDI;DDH Québec
cli_id_00870;2018-07-01;2018-07-31;hytp_0133;2531;PH;76405.32;60;230;3.19;2012-11-15;1987;1;2531;2017-12-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00870;2018-07-01;2018-07-31;hytp_0134;2531;PH;84655.31;60;230;3.19;2012-11-15;1987;1;2531;2017-12-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00871;2018-07-01;2018-07-31;hytp_0135;10321;PH;142000;60;300;2.84;2016-05-24;2009;1;10321;2016-06-04;60 mois;Succursale Québec;DDH Québec;DDH Québec
cli_id_00875;2018-07-01;2018-07-31;hytp_0136;13371;PH;81994.5;60;300;3.8;2014-02-18;1985;1;13371;2014-06-01;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00882;2018-07-01;2018-07-31;hytp_0137;13231;PH;55000;60;61;2.84;2000-05-16;1983;1;13231;2015-07-02;60 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00882;2018-07-01;2018-07-31;hytp_0138;13231;PH;15000;12;49;2.99;2011-12-01;1983;1;13231;2017-12-01;12 mois;Succursale Québec;Succursale Québec;Succursale Québec
cli_id_00882;2018-07-01;2018-07-31;hytp_0139;13231;PH;9000;24;24;2.74;2006-05-26;1983;1;13231;2016-05-31;24 mois;Succursale Québec;Succursale Québec;Succursale Québec
